Batch No:0
Requestid				T									D
[364]				11.3769930767									0
[365]				14.5079067523									0
[366]				13.66797956									0
[367]				5.01461077268									0
[368]				8.91524171373									0
[369]				7.90402762445									0
[370]				5.0									0
[371]				8.47336536596									0
[372]				13.0849257372									0
[373]				13.078145613									0
[374]				7.43686899287									0
[375]				5.0									0
[376]				5.0									0
[377]				6.76414553974									0
[378]				8.43973475519									0
[379]				8.92528451303									0
[380]				5.0									0
[381]				7.8400023206									0
[382]				10.862735852									0
[383]				10.2839201347									0
[384]				5.0									0
[385]				8.75612662395									0
[386]				13.570408682									0
[387]				17.8333586246									0
[388]				17.8722550281									0
[389]				17.3225649647									0
[390]				21.1034184366									0
[391]				24.8369945708									0
[392]				24.4208750617									0
[393]				23.1840438173									0
[394]				21.1525815683									0
[395]				18.3204551498									0
[396]				22.9403102646									0
[397]				23.9623098319									0
[398]				18.1647409392									0
[399]				5.0									0
[400]				7.69971863997									0
[401]				5.0									0
[402]				5.0									0
[403]				5.0									0
[404]				8.4390602936									0
[405]				6.27886497052									0
[406]				5.0									0
[407]				6.11428641804									0
[408]				10.4768113319									0
[409]				14.1862989335									0
[410]				18.1640870503									0
[411]				22.5795354628									0
[413]				20.8521031425									0
[412]				31.5905956327									7.64957917465
[414]				22.8563498209									0
[415]				17.6874224786									0
[416]				12.9183185664									0
[417]				10.4266013752									0
[418]				5.0									0
[419]				5.0									0
[420]				5.0									0
[421]				5.0									0
[422]				9.34564277092									0
[423]				13.6942344427									0
[424]				18.2944625532									0
[425]				21.9072706971									0
[426]				24.0926446605									0
[427]				25.4102448551									6.79206299594
[428]				23.5642513556									0
[430]				24.941742666									0
[432]				24.3056022016									0
[434]				24.7507568164									0
[433]				30.2003563335									7.13126628692
[436]				24.9808027276									0
[438]				24.4692654992									0
[435]				37.0860493392									12.3201311541
[429]				63.0392494747									38.0635572314
[439]				30.1338809955									5.17132668393
[431]				67.1199741244									43.5582408559
[442]				37.5883668283									12.8379127946
[437]				57.3577740244									37.9476143195
[443]				22.5318694769									0
[444]				23.2784884387									0
[441]				58.1940549517									33.2107442407
[446]				29.9592291183									5.18006881681
[440]				69.8236276298									46.9799404214
[445]				42.9517800919									25.5438793427
[448]				20.5192608295									0
[447]				36.0005419587									12.346479416
[449]				27.6651647579									7.05798127649
[450]				5.0									0
[451]				5.0									0
[452]				9.03745564322									0
[453]				5.0									0
[454]				6.70951306736									0
[455]				5.0									0
[456]				5.0									0
[457]				8.53458472838									0
[458]				10.2515635925									0
[459]				13.3558558133									0
[460]				14.5484310353									0
[461]				17.5229219976									0
[462]				15.9341291649									0
[463]				20.1443429581									0
[464]				24.0319679355									0
[466]				24.9000526147									0
[465]				30.3607359361									13.2280358596
[467]				21.2383736846									0
[468]				24.9254840151									0
[470]				19.2418402998									0
[471]				18.7604042809									0
[469]				39.8135542897									16.1923926642
[473]				26.2614846933									3.98159498921
[472]				32.8809801272									12.639896289
[474]				19.6196937427									0
[475]				22.7585030177									0
[476]				19.3469437312									0
[477]				21.5466445586									0
[478]				17.5917589103									0
[479]				21.6026607829									0
[480]				22.2198011683									0
[481]				5.09249012072									0
[482]				5.0									0
[483]				9.43372361695									0
[484]				13.7278879788									0
[485]				12.5392207438									0
[486]				14.719306234									0
[487]				16.9594823782									0
[488]				18.0626020918									0
[489]				17.8332374985									0
[490]				5.0									0
[491]				8.34614647136									0
[492]				8.30084344679									0
[493]				11.4693376282									0
[494]				11.7398944454									0
[495]				8.85160723631									0
[496]				12.9911664286									0
[497]				14.0542910587									0
[498]				11.7141588141									0
[499]				16.6651127434									0
[500]				12.8174750282									0
[501]				14.5609642983									0
[502]				15.3519155172									0
[503]				14.6944954986									0
[504]				10.2473273067									0
[505]				14.9011744359									0
[506]				15.7357063828									0
[507]				20.5014493923									0
[508]				22.5798831235									0
[510]				24.9044754743									0
[511]				26.3171955249									2.31377007633
